3,1,736.44,194.44,35.37,68.49,1,2,-1,-1
3,2,394.43,155.81,33.82,61.3,1,2,-1,-1
3,3,857.3,187.11,34.31,61.27,1,2,-1,-1
3,4,728.16,82.54,28.31,46.29,1,2,-1,-1
3,5,454.34,161.06,36.16,66.57,1,2,-1,-1
3,6,580.52,95.77,23.62,51.43,1,2,-1,-1
3,7,908.61,125.99,24.65,50.43,1,2,-1,-1
3,8,1258.56,154.16,26.52,59.79,1,2,-1,-1
3,10,162.36,265.43,49.99,82.03,1,2,-1,-1
3,11,530.04,432.55,45.2,85.55,1,2,-1,-1
3,12,1160.27,257.09,30.1,83.27,1,2,-1,-1
3,13,409.98,420.7,55.0,79.93,1,2,-1,-1
3,14,1091.45,346.1,38.84,75.45,1,2,-1,-1
4,1,747.36,193.57,36.23,70.55,1,2,-1,-1
4,2,408.09,155.91,33.76,61.11,1,2,-1,-1
4,3,869.05,185.87,34.88,62.54,1,2,-1,-1
4,4,740.37,82.6,27.97,46.18,1,2,-1,-1
4,5,468.1,161.75,35.5,65.09,1,2,-1,-1
4,6,593.48,96.91,23.57,50.43,1,2,-1,-1
4,7,920.73,126.24,24.26,49.87,1,2,-1,-1
4,8,1263.65,156.73,25.68,57.9,1,2,-1,-1
4,10,172.09,265.3,50.32,82.66,1,2,-1,-1
4,11,530.94,430.56,45.38,86.4,1,2,-1,-1
4,12,1168.08,257.41,29.89,82.6,1,2,-1,-1
4,13,422.57,428.85,47.88,70.1,1,2,-1,-1
4,14,1096.86,345.55,37.67,73.59,1,2,-1,-1
5,1,757.56,193.24,36.77,71.98,1,2,-1,-1
5,2,420.71,155.45,33.87,61.59,1,2,-1,-1
5,3,880.07,185.59,35.45,63.43,1,2,-1,-1
5,4,752.18,82.49,27.07,45.34,1,2,-1,-1
5,5,480.8,161.23,35.63,65.09,1,2,-1,-1
5,6,606.32,97.65,23.89,50.25,1,2,-1,-1
5,7,933.78,126.21,24.48,50.56,1,2,-1,-1
5,8,1268.74,159.31,24.84,56.01,1,2,-1,-1
5,10,181.43,265.67,50.26,82.6,1,2,-1,-1
5,11,536.19,429.03,45.78,88.38,1,2,-1,-1
5,12,1175.06,257.65,29.82,82.2,1,2,-1,-1
5,13,430.3,419.92,53.28,78.58,1,2,-1,-1
5,14,1100.48,346.11,38.01,74.71,1,2,-1,-1
5,22,829.17,463.51,19.43,52.07,1,2,-1,-1
6,1,768.4,193.61,36.86,72.33,1,2,-1,-1
6,2,432.44,154.84,33.6,61.74,1,2,-1,-1
6,3,890.1,185.08,35.83,63.78,1,2,-1,-1
6,4,764.39,83.15,26.23,44.91,1,2,-1,-1
6,5,492.83,160.7,35.71,65.1,1,2,-1,-1
6,6,619.78,97.83,24.0,49.82,1,2,-1,-1
6,7,946.12,125.3,25.56,53.06,1,2,-1,-1
6,8,1273.83,161.88,24.0,54.11,1,2,-1,-1
6,10,191.42,266.76,49.42,81.44,1,2,-1,-1
6,11,541.21,426.82,40.33,77.93,1,2,-1,-1
6,12,1184.74,256.82,31.06,84.35,1,2,-1,-1
6,13,433.08,416.36,54.18,80.06,1,2,-1,-1
6,14,1104.18,348.67,36.16,71.75,1,2,-1,-1
6,22,833.68,462.92,18.69,50.09,1,2,-1,-1
6,27,696.79,224.48,22.59,73.49,1,2,-1,-1
7,1,780.29,194.78,36.59,71.57,1,2,-1,-1
7,2,443.54,154.4,33.23,62.16,1,2,-1,-1
7,3,900.02,185.15,36.26,63.78,1,2,-1,-1
7,4,776.94,82.58,26.31,45.97,1,2,-1,-1
7,5,504.33,159.95,35.95,65.64,1,2,-1,-1
